"","soc_uni","soc","original_title","new_occ_title","new_occ_description","new_occ_word","new_occ_definition"
"78","43-5021","43-5021.00","Couriers and Messengers","Messengers pick up and drop off notes, papers, packages, and other things. They often work for offices or businesses. They bring things by foot, bike, car, bus or subway.","Messengers pick up and drop off notes, papers, packages, and other things. They often work for offices or businesses. They bring things by foot, bike, car, bus or subway.",NA,NA
"79","43-5031","43-5031.00","Police, Fire, and Ambulance Dispatchers","Dispatchers send out help to people who need help. They take reports from the public about emergencies. Those include crimes, fires, and accidents. They alert experts who can help. Experts include police, fire fighters, and EMTs. Dispatchers take reports by phone, radio, or computer. They might stay in contact with victims until help comes.  ","Dispatchers send out help to people who need help. They take reports from the public about emergencies. Those include crimes, fires, and accidents. They alert experts who can help. Experts include police, fire fighters, and EMTs. Dispatchers take reports by phone, radio, or computer. They might stay in contact with victims until help comes.  ","EMTs","People trained to give medical help in an emergency. They often travel in ambulances."
"80","43-5032","43-5032.00","Dispatchers, Except Police, Fire, and Ambulance","Dispatchers send workers, drivers, and work crews out on jobs. They set up times for work to get done. Some set up deliveries and repairs. They check the progress of work being done. Some use radios, phones, or computers to get in touch with workers.  ","Dispatchers send workers, drivers, and work crews out on jobs. They set up times for work to get done. Some set up deliveries and repairs. They check the progress of work being done. Some use radios, phones, or computers to get in touch with workers.  ","Progress","Movement or steps toward a goal or outcome."
"81","43-5071","43-5071.00","Shipping, Receiving, and Traffic Clerks","Clerks take in and send out shipments. They keep records. They make sure shipments are correct. They get items ready to send out. They unpack items that come in. They address, stamp, and send items.","Clerks take in and send out shipments. They keep records. They make sure shipments are correct. They get items ready to send out. They unpack items that come in. They address, stamp, and send items.",NA,NA
"82","43-9021","43-9021.00","Data Entry Keyers","Clerks use data entry machines or keyboards. They enter and check data. They prepare items for printing.","Clerks use data entry machines or keyboards. They enter and check data. They prepare items for printing.","Data","Facts, numbers, and information."
"83","43-9061","43-9061.00","Office Clerks, General","Office clerks do a wide range of tasks. They do the daily work that keeps offices running smoothly. Some office clerks answer phones, type, file, and run office machines. Some do bookkeeping and use computers.","Office clerks do a wide range of tasks. They do the daily work that keeps offices running smoothly. Some office clerks answer phones, type, file, and run office machines. Some do bookkeeping and use computers.",NA,NA
"84","45-2011","45-2011.00","Agricultural Inspectors","Inspectors check farm crops, equipment, and farming sites. They make sure things are safe and healthy. They make sure rules and laws are being followed.","Inspectors check farm crops, equipment, and farming sites. They make sure things are safe and healthy. They make sure rules and laws are being followed.",NA,NA
"85","45-2091","45-2091.00","Agricultural Equipment Operators","Workers drive and control farm equipment. They use equipment to plant, grow, and harvest crops. They also work with crops that have been harvested.","Workers drive and control farm equipment. They use equipment to plant, grow, and harvest crops. They also work with crops that have been harvested.","Harvest","To gather crops from the fields."
"86","47-2021","47-2021.00","Brickmasons and Blockmasons","Masons use bricks and blocks to make or fix walls, floors, and other structures.","Masons use bricks and blocks to make or fix walls, floors, and other structures.","Structure","Something that is built."
"87","47-2041","47-2041.00","Carpet Installers","Installers put down rugs from rolls or blocks. They put down padding and cut rugs and pads to fit.  ","Installers put down rugs from rolls or blocks. They put down padding and cut rugs and pads to fit.  ",NA,NA
"88","47-2042","47-2042.00","Floor Layers, Except Carpet, Wood, and Hard Tiles","Installers put down blocks, sheets, and strips on floors. The materials cut down on shock and sound and improve how floors look.","Installers put down blocks, sheets, and strips on floors. The materials cut down on shock and sound and improve how floors look.",NA,NA
